id,group,addressee
b06_h047,Hymns to Indra,"Soma, Indra and Others"
b06_h048,Hymns to Indra,"Agni, the Maruts and Pusan"
b06_h049,Hymns to All the Gods,All the Gods
b06_h050,Hymns to All the Gods,All the Gods
b06_h051,Hymns to All the Gods,All the Gods
b06_h052,Hymns to All the Gods,All the Gods
b06_h053,Hymns to Pusan,Pusan
b06_h054,Hymns to Pusan,Pusan
b06_h055,Hymns to Pusan,Pusan
b06_h056,Hymns to Pusan,Pusan
b06_h057,Hymns to Pusan,Pusan
b06_h058,Hymns to Pusan,Pusan
b06_h059,Hymns to Various Gods,Indra and Agni
b06_h060,Hymns to Various Gods,Indra and Agni
b06_h061,Hymns to Various Gods,Sarasvati
b06_h062,Hymns to Various Gods,Asvins
b06_h063,Hymns to Various Gods,Asvins
b06_h064,Hymns to Various Gods,Usas
b06_h065,Hymns to Various Gods,Usas
b06_h066,Hymns to Various Gods,The Maruts
b06_h067,Hymns to Various Gods,Mitra and Varuna
b06_h068,Hymns to Various Gods,Indra and Varuna
b06_h069,Hymns to Various Gods,Indra and Vishnu
b06_h070,Hymns to Various Gods,Heaven and Earth
b06_h071,Hymns to Various Gods,Savitri
b06_h072,Hymns to Various Gods,Indra and Soma
b06_h073,Hymns to Various Gods,Brihaspati
b06_h074,Hymns to Various Gods,Soma and Rudra
b06_h075,Hymns to Various Gods,Blessing of Weapons
b07_h001,Hymns to Agni,Agni
b07_h002,Hymns to Agni,Apri Hymn
b07_h003,Hymns to Agni,Agni
b07_h004,Hymns to Agni,Agni
b07_h005,Hymns to Agni,Agni Vaisvanara
b07_h006,Hymns to Agni,Agni Vaisvanara
b07_h007,Hymns to Agni,Agni
b07_h008,Hymns to Agni,Agni
b07_h009,Hymns to Agni,Agni
b07_h010,Hymns to Agni,Agni
b07_h011,Hymns to Agni,Agni
b07_h012,Hymns to Agni,Agni
b07_h013,Hymns to Agni,Agni Vaisvanara
b07_h014,Hymns to Agni,Agni
b07_h015,Hymns to Agni,Agni
b07_h016,Hymns to Agni,Agni
b07_h017,Hymns to Agni,Agni
b07_h018,Hymns to Indra,Indra
b07_h019,Hymns to Indra,Indra
b07_h020,Hymns to Indra,Indra
b07_h021,Hymns to Indra,Indra
b07_h022,Hymns to Indra,Indra
b07_h023,Hymns to Indra,Indra
b07_h024,Hymns to Indra,Indra
b07_h025,Hymns to Indra,Indra
b07_h026,Hymns to Indra,Indra
b07_h027,Hymns to Indra,Indra
b07_h028,Hymns to Indra,Indra
b07_h029,Hymns to Indra,Indra
b07_h030,Hymns to Indra,Indra
b07_h031,Hymns to Indra,Indra
b07_h032,Hymns to Indra,Indra
